Ticker;Name;Fitch Long Term Issuer Default Rating;Cntry Terrtry;GICS Sector
IGD IM Equity;IMMOBILIARE GRANDE DISTRIBUZ;BBB-;IT;Real Estate
6723 JP Equity;RENESAS ELECTRONICS CORP;BBB;JN;Information Technology
600900 CH Equity;CHINA YANGTZE POWER CO LTD-A;A;CH;Utilities
LKQ US Equity;LKQ CORP;BBB-;US;Consumer Discretionary
SGI US Equity;SOMNIGROUP INTERNATIONAL INC;BB+;US;Consumer Discretionary
WLK US Equity;WESTLAKE CORP;BBB;US;Materials
IGG LN Equity;IG GROUP HOLDINGS PLC;BBB;GB;Financials
CNO US Equity;CNO FINANCIAL GROUP INC;BBB+;US;Financials
SNG RO Equity;SOCIETATEA NATIONALA DE GAZE;BBB-;RO;Energy
VNA GR Equity;VONOVIA SE;BBB+;GE;Real Estate
CGX CN Equity;CINEPLEX INC;B;CA;Communication Services
600021 CH Equity;SHANGHAI ELECTRIC POWER CO-A;BBB+;CH;Utilities
CVW AU Equity;CLEARVIEW WEALTH LTD;BBB;AU;Financials
KRO US Equity;KRONOS WORLDWIDE INC;B+;US;Materials
NST AU Equity;NORTHERN STAR RESOURCES LTD;BBB-;AU;Materials
MTX GR Equity;MTU AERO ENGINES AG;BBB;GE;Industrials
NRG US Equity;NRG ENERGY INC;BB+;US;Utilities
CSU CN Equity;CONSTELLATION SOFTWARE INC;BBB+;CA;Information Technology
ITV LN Equity;ITV PLC;BBB-;GB;Communication Services
HTH US Equity;HILLTOP HOLDINGS INC;BBB+;US;Financials
939 HK Equity;CHINA CONSTRUCTION BANK-H;A;CH;Financials
MAIN US Equity;MAIN STREET CAPITAL CORP;BBB-;US;Financials
ABR US Equity;ARBOR REALTY TRUST INC;BB;US;Financials
KOS US Equity;KOSMOS ENERGY LTD;CCC+;US;Energy
CBRE US Equity;CBRE GROUP INC - A;BBB+;US;Real Estate
2338 HK Equity;WEICHAI POWER CO LTD-H;BBB+;CH;Industrials
BIFC1 PE Equity;BANCO INTERAMERICANO FINANZA;BB+;PE;
CSN LN Equity;CHESNARA PLC;A-;GB;Financials
TMUS US Equity;T-MOBILE US INC;BBB+;US;Communication Services
KRG US Equity;KITE REALTY GROUP TRUST;BBB;US;Real Estate
KAR AU Equity;KAROON ENERGY LTD;B;AU;Energy
MAADEN AB Equity;SAUDI ARABIAN MINING CO;BBB+;SR;Materials
AMS SW Equity;AMS-OSRAM AG;B;AS;Information Technology
ARCC US Equity;ARES CAPITAL CORP;BBB;US;Financials
ADM LN Equity;ADMIRAL GROUP PLC;A;GB;Financials
SESG FP Equity;SES;BBB-;LX;Communication Services
WTI US Equity;W&T OFFSHORE INC;B-;US;Energy
DBM CN Equity;DOMAN BUILDING MATERIALS GRO;B+;CA;Industrials
VESTA* MM Equity;CORP INMOBILIARIA VESTA SAB;BBB-;MX;Real Estate
ASBN KZ Equity;FORTEBANK JSC;BB;KZ;Financials
UTCEM IN Equity;ULTRATECH CEMENT LTD;BBB-;IN;Materials
KSTL UZ Equity;ARCELORMITTAL KRYVYI RIH;CC;UK;Materials
700 HK Equity;TENCENT HOLDINGS LTD;A;CH;Communication Services
CCOLA TI Equity;COCA-COLA ICECEK AS;BBB;TU;Consumer Staples
GOLL54 BZ Equity;GOL LINHAS AEREAS INT SA-PRE;CCC+;BZ;Industrials
TCS IN Equity;TATA CONSULTANCY SVCS LTD;A;IN;Information Technology
WAL US Equity;WESTERN ALLIANCE BANCORP;BBB;US;Financials
RF US Equity;REGIONS FINANCIAL CORP;A-;US;Financials
DLR US Equity;DIGITAL REALTY TRUST INC;BBB;US;Real Estate
LVS US Equity;LAS VEGAS SANDS CORP;BBB;US;Consumer Discretionary
HUN US Equity;HUNTSMAN CORP;BBB-;US;Materials
CPFE3 BZ Equity;CPFL ENERGIA SA;BBB;BZ;Utilities
CSAN3 BZ Equity;COSAN SA;BB;BZ;Consumer Discretionary
MOS US Equity;MOSAIC CO/THE;BBB;US;Materials
IFC CN Equity;INTACT FINANCIAL CORP;A;CA;Financials
NWE US Equity;NORTHWESTERN ENERGY GROUP IN;BBB;US;Utilities
COLD US Equity;AMERICOLD REALTY TRUST INC;BBB;US;Real Estate
000333 CH Equity;MIDEA GROUP CO LTD-A;A;CH;Consumer Discretionary
823 HK Equity;LINK REIT;A;HK;Real Estate
VCB VN Equity;BANK FOR FOREIGN TRADE JSC;BB+;VN;Financials
WEX US Equity;WEX INC;BB+;US;Financials
ENT LN Equity;ENTAIN PLC;BB;GB;Consumer Discretionary
CE US Equity;CELANESE CORP;BB+;US;Materials
002736 CH Equity;GUOSEN SECURITIES CO LTD-A;BBB+;CH;Financials
